DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M020,P.S. 020 ANNA SILVER,4,2013,EP,56,296,18,32.1,27,48.2,9,16.1,2,3.6,11,19.6
01M020,P.S. 020 ANNA SILVER,4,2013,Former ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,4,2014,ELL,10,283,5,50,3,30,1,10,1,10,2,20
01M020,P.S. 020 ANNA SILVER,4,2014,EP,51,302,13,25.5,23,45.1,11,21.6,4,7.8,15,29.4
01M020,P.S. 020 ANNA SILVER,4,2014,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,4,2015,ELL,15,282,7,46.7,7,46.7,1,6.7,0,0,1,6.7
01M020,P.S. 020 ANNA SILVER,4,2015,EP,68,289,27,39.7,27,39.7,12,17.6,2,2.9,14,20.6
01M020,P.S. 020 ANNA SILVER,4,2015,Former ELL,8,311,1,12.5,5,62.5,0,0,2,25,2,25
01M020,P.S. 020 ANNA SILVER,5,2013,ELL,15,295,5,33.3,10,66.7,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,5,2013,EP,59,291,27,45.8,22,37.3,9,15.3,1,1.7,10,16.9
01M020,P.S. 020 ANNA SILVER,5,2013,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,5,2014,ELL,9,257,7,77.8,2,22.2,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,5,2014,EP,53,298,17,32.1,22,41.5,11,20.8,3,5.7,14,26.4
01M020,P.S. 020 ANNA SILVER,5,2014,Former ELL,7,306,2,28.6,2,28.6,3,42.9,0,0,3,42.9
01M020,P.S. 020 ANNA SILVER,5,2015,ELL,8,277,5,62.5,1,12.5,2,25,0,0,2,25
01M020,P.S. 020 ANNA SILVER,5,2015,EP,44,299,13,29.5,16,36.4,12,27.3,3,6.8,15,34.1
01M020,P.S. 020 ANNA SILVER,5,2015,Former ELL,6,317,0,0,4,66.7,1,16.7,1,16.7,2,33.3
01M020,P.S. 020 ANNA SILVER,All Grades,2013,ELL,46,282,25,54.3,18,39.1,3,6.5,0,0,3,6.5
01M020,P.S. 020 ANNA SILVER,All Grades,2013,EP,167,295,60,35.9,74,44.3,30,18,3,1.8,33,19.8
01M020,P.S. 020 ANNA SILVER,All Grades,2013,Former ELL,14,322,0,0,6,42.9,8,57.1,0,0,8,57.1
01M020,P.S. 020 ANNA SILVER,All Grades,2014,ELL,38,269,27,71.1,9,23.7,1,2.6,1,2.6,2,5.3
01M020,P.S. 020 ANNA SILVER,All Grades,2014,EP,172,292,71,41.3,64,37.2,29,16.9,8,4.7,37,21.5
01M020,P.S. 020 ANNA SILVER,All Grades,2014,Former ELL,19,306,5,26.3,7,36.8,7,36.8,0,0,7,36.8
01M020,P.S. 020 ANNA SILVER,All Grades,2015,ELL,29,273,17,58.6,9,31,3,10.3,0,0,3,10.3
01M020,P.S. 020 ANNA SILVER,All Grades,2015,EP,191,294,69,36.1,67,35.1,46,24.1,9,4.7,55,28.8
01M020,P.S. 020 ANNA SILVER,All Grades,2015,Former ELL,20,310,1,5,15,75,1,5,3,15,4,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,EP,33,295,16,48.5,8,24.2,9,27.3,0,0,9,27.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,EP,29,271,17,58.6,9,31,3,10.3,0,0,3,10.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,EP,28,301,10,35.7,7,25,11,39.3,0,0,11,39.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,ELL,6,275,4,66.7,2,33.3,0,0,0,0,0,0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,EP,38,306,6,15.8,22,57.9,8,21.1,2,5.3,10,26.3
