DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,EP,29,282,14,48.3,12,41.4,2,6.9,1,3.4,3,10.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,EP,28,294,11,39.3,9,32.1,6,21.4,2,7.1,8,28.6
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,ELL,6,263,4,66.7,2,33.3,0,0,0,0,0,0
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,EP,38,300,12,31.6,15,39.5,7,18.4,4,10.5,11,28.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,EP,33,299,11,33.3,13,39.4,7,21.2,2,6.1,9,27.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,EP,28,291,8,28.6,14,50,4,14.3,2,7.1,6,21.4
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,EP,24,308,7,29.2,8,33.3,9,37.5,0,0,9,37.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,EP,37,310,9,24.3,15,40.5,9,24.3,4,10.8,13,35.1
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,EP,33,297,16,48.5,10,30.3,5,15.2,2,6.1,7,21.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,EP,47,301,16,34,15,31.9,9,19.1,7,14.9,16,34
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,Former ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,EP,36,295,11,30.6,17,47.2,6,16.7,2,5.6,8,22.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,ELL,7,290,3,42.9,3,42.9,1,14.3,0,0,1,14.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,EP,45,296,14,31.1,19,42.2,9,20,3,6.7,12,26.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,ELL,6,292,2,33.3,2,33.3,2,33.3,0,0,2,33.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,EP,41,301,15,36.6,18,43.9,8,19.5,0,0,8,19.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,EP,50,305,18,36,12,24,16,32,4,8,20,40
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,EP,36,300,13,36.1,13,36.1,9,25,1,2.8,10,27.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,EP,39,306,8,20.5,20,51.3,8,20.5,3,7.7,11,28.2
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,ELL,6,298,2,33.3,2,33.3,1,16.7,1,16.7,2,33.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,EP,48,293,17,35.4,21,43.8,9,18.8,1,2.1,10,20.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,EP,51,299,16,31.4,23,45.1,8,15.7,4,7.8,12,23.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,ELL,29,285,14,48.3,9,31,4,13.8,2,6.9,6,20.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,EP,223,301,70,31.4,88,39.5,49,22,16,7.2,65,29.1
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,Former ELL,12,322,0,0,6,50,3,25,3,25,6,50
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,ELL,19,292,7,36.8,5,26.3,5,26.3,2,10.5,7,36.8
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,EP,233,298,80,34.3,90,38.6,49,21,14,6,63,27
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,Former ELL,12,301,2,16.7,7,58.3,3,25,0,0,3,25
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,ELL,23,279,14,60.9,6,26.1,2,8.7,1,4.3,3,13
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,EP,221,297,78,35.3,88,39.8,41,18.6,14,6.3,55,24.9
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,Former ELL,10,289,5,50,3,30,2,20,0,0,2,20
01M063,THE STAR ACADEMY - P.S.63,3,2013,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2013,EP,17,289,6,35.3,7,41.2,3,17.6,1,5.9,4,23.5
01M063,THE STAR ACADEMY - P.S.63,3,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2014,EP,17,307,1,5.9,11,64.7,3,17.6,2,11.8,5,29.4
01M063,THE STAR ACADEMY - P.S.63,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2015,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,3,2015,EP,15,286,8,53.3,5,33.3,1,6.7,1,6.7,2,13.3
01M063,THE STAR ACADEMY - P.S.63,3,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2013,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2013,EP,20,276,10,50,7,35,3,15,0,0,3,15
01M063,THE STAR ACADEMY - P.S.63,4,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,4,2014,EP,16,313,2,12.5,6,37.5,5,31.3,3,18.8,8,50
01M063,THE STAR ACADEMY - P.S.63,4,2015,EP,12,310,0,0,7,58.3,4,33.3,1,8.3,5,41.7
01M063,THE STAR ACADEMY - P.S.63,4,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2013,EP,22,299,9,40.9,10,45.5,1,4.5,2,9.1,3,13.6
01M063,THE STAR ACADEMY - P.S.63,5,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2014,EP,16,280,10,62.5,4,25,2,12.5,0,0,2,12.5
01M063,THE STAR ACADEMY - P.S.63,5,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,5,2015,EP,18,298,6,33.3,7,38.9,5,27.8,0,0,5,27.8
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,EP,59,288,25,42.4,24,40.7,7,11.9,3,5.1,10,16.9
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,EP,49,300,13,26.5,21,42.9,10,20.4,5,10.2,15,30.6
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,EP,45,297,14,31.1,19,42.2,10,22.2,2,4.4,12,26.7
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2013,EP,29,275,18,62.1,10,34.5,1,3.4,0,0,1,3.4
01M064,P.S. 064 ROBERT SIMON,3,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2014,EP,38,295,10,26.3,22,57.9,5,13.2,1,2.6,6,15.8
01M064,P.S. 064 ROBERT SIMON,3,2014,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,3,2015,EP,35,300,8,22.9,17,48.6,7,20,3,8.6,10,28.6
01M064,P.S. 064 ROBERT SIMON,3,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2013,EP,39,279,20,51.3,17,43.6,2,5.1,0,0,2,5.1
01M064,P.S. 064 ROBERT SIMON,4,2014,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2014,EP,29,287,13,44.8,9,31,5,17.2,2,6.9,7,24.1
01M064,P.S. 064 ROBERT SIMON,4,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M064,P.S. 064 ROBERT SIMON,4,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
