DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M019,P.S. 019 ASHER LEVY,3,2015,All Students,28,303,6,21.4,11,39.3,9,32.1,2,7.1,11,39.3
01M019,P.S. 019 ASHER LEVY,4,2013,All Students,42,289,18,42.9,11,26.2,13,31,0,0,13,31
01M019,P.S. 019 ASHER LEVY,4,2014,All Students,34,316,7,20.6,8,23.5,10,29.4,9,26.5,19,55.9
01M019,P.S. 019 ASHER LEVY,4,2015,All Students,32,322,4,12.5,6,18.8,11,34.4,11,34.4,22,68.8
01M019,P.S. 019 ASHER LEVY,5,2013,All Students,36,304,11,30.6,16,44.4,8,22.2,1,2.8,9,25
01M019,P.S. 019 ASHER LEVY,5,2014,All Students,35,297,12,34.3,15,42.9,7,20,1,2.9,8,22.9
01M019,P.S. 019 ASHER LEVY,5,2015,All Students,30,326,3,10,12,40,8,26.7,7,23.3,15,50
01M019,P.S. 019 ASHER LEVY,All Grades,2013,All Students,114,301,37,32.5,37,32.5,31,27.2,9,7.9,40,35.1
01M019,P.S. 019 ASHER LEVY,All Grades,2014,All Students,104,308,27,26,33,31.7,28,26.9,16,15.4,44,42.3
01M019,P.S. 019 ASHER LEVY,All Grades,2015,All Students,90,318,13,14.4,29,32.2,28,31.1,20,22.2,48,53.3
01M020,P.S. 020 ANNA SILVER,3,2013,All Students,79,302,20,25.3,31,39.2,18,22.8,10,12.7,28,35.4
01M020,P.S. 020 ANNA SILVER,3,2014,All Students,97,296,36,37.1,26,26.8,22,22.7,13,13.4,35,36.1
01M020,P.S. 020 ANNA SILVER,3,2015,All Students,92,299,32,34.8,25,27.2,19,20.7,16,17.4,35,38
01M020,P.S. 020 ANNA SILVER,4,2013,All Students,75,294,23,30.7,27,36,21,28,4,5.3,25,33.3
01M020,P.S. 020 ANNA SILVER,4,2014,All Students,65,300,21,32.3,19,29.2,14,21.5,11,16.9,25,38.5
01M020,P.S. 020 ANNA SILVER,4,2015,All Students,92,291,36,39.1,23,25,18,19.6,15,16.3,33,35.9
01M020,P.S. 020 ANNA SILVER,5,2013,All Students,77,290,39,50.6,26,33.8,10,13,2,2.6,12,15.6
01M020,P.S. 020 ANNA SILVER,5,2014,All Students,71,298,29,40.8,22,31,14,19.7,6,8.5,20,28.2
